Air Quality Index,Water Quality Index,Deforestation loss(Mha),Label
373.88,13.047,11.592267,Moderately Good
380.529,81.773,10.069775,Moderately Bad
421.971,61.266,14.54703,Moderately Bad
171.266,15.654,21.834943,Moderately Good
56.813,44.659,24.07776,Moderately Good
368.559,44.038,24.997616,Moderately Bad
204.424,96.252,11.064748,Moderately Good
391.855,91.07,10.563687,Moderately Bad
351.929,14.301,22.063426,Moderately Bad
198.884,82.086,13.376799,Moderately Good
395.116,61.109,16.733531,Extremely Bad
433.809,70.492,18.078723,Extremely Bad
416.613,30.904,15.839216,Moderately Bad
84.211,23.418,19.862099,Moderately Good
2.185,35.075,11.950649,Extremely Good
293.801,35.733,14.917308,Moderately Good
443.271,65.173,10.976061,Moderately Bad
404.294,91.87,17.576737,Extremely Bad
213.712,25.284,23.182624,Moderately Good
37.608,20.884,20.032162,Moderately Good
49.204,67.107,23.786747,Moderately Bad
188.314,93.026,23.555146,Moderately Bad
28.621,54.504,13.708029,Moderately Good
183.467,1.528,11.425722,Extremely Good
390.54,84.124,20.517644,Extremely Bad
322.481,38.138,14.052138,Moderately Good
61.736,12.408,17.009089,Moderately Good
487.993,81.541,19.099697,Extremely Bad
199.977,62.699,18.419971,Moderately Bad
297.328,2.837,18.288677,Moderately Bad
34.657,97.442,10.874278,Moderately Good
248.447,85.546,16.332714,Moderately Bad
272.317,5.781,11.142394,Moderately Good
298.652,6.3,10.809297,Moderately Good
159.109,81.948,24.965824,Moderately Bad
425.445,62.804,16.133049,Extremely Bad
401.242,18.656,18.543328,Moderately Bad
487.223,99.72,24.07052,Extremely Bad
362.304,75.831,11.798691,Moderately Bad
267.515,2.89,16.006168,Moderately Bad
306.07,65.453,17.633708,Extremely Bad
226.301,55.719,18.100532,Moderately Bad
394.476,24.334,19.594651,Moderately Bad
91.351,47.957,22.228347,Moderately Good
64.049,97.28,12.687809,Moderately Good
415.729,80.756,13.737617,Moderately Bad
441.416,17.697,20.268957,Moderately Bad
104.641,12.807,23.189212,Moderately Good
155.521,1.566,14.80328,Extremely Good
372.467,17.524,18.925705,Moderately Bad
79.513,97.193,11.274729,Moderately Good
35.225,27.022,15.855445,Moderately Good
309.534,79.266,17.611287,Extremely Bad
329.431,14.767,19.229868,Moderately Bad
71.216,71.376,11.993778,Moderately Good
448.952,6.763,19.611165,Moderately Bad
380.923,69.839,12.43814,Moderately Bad
142.486,22.235,12.834102,Extremely Good
275.933,43.326,12.438993,Moderately Good
295.495,26.767,14.063981,Moderately Good
228.054,24.041,16.212566,Moderately Good
341.045,94.671,16.618841,Extremely Bad
280.117,31.111,18.758237,Moderately Bad
418.245,36.975,24.843702,Moderately Bad
446.066,50.097,13.860404,Moderately Bad
93.623,1.653,20.201764,Moderately Good
380.062,20.123,17.958844,Moderately Bad
12.593,84.397,10.520379,Moderately Good
460.35,72.051,19.77746,Extremely Bad
434.532,24.144,24.981623,Moderately Bad
112.644,68.834,20.557019,Moderately Bad
203.843,53.439,13.981258,Moderately Good
376.547,90.781,19.193058,Extremely Bad
31.82,64.689,11.650952,Moderately Good
193.103,47.564,19.625129,Moderately Good
170.181,74.79,14.912743,Moderately Good
71.81,7.586,14.525366,Extremely Good
287.561,14.957,24.211038,Moderately Bad
221.709,28.56,19.152159,Moderately Good
333.592,79.262,16.842531,Extremely Bad
213.864,72.35,16.800299,Moderately Bad
449.029,52.513,10.423586,Moderately Bad
482.19,28.094,10.695497,Moderately Good
45.754,34.724,10.996234,Extremely Good
29.166,78.261,17.929522,Moderately Bad
286.796,2.74,24.655943,Moderately Bad
67.037,33.27,14.761477,Extremely Good
285.922,95.559,20.171483,Extremely Bad
478.94,50.972,21.600797,Extremely Bad
224.185,95.126,14.023513,Moderately Good
16.577,23.34,13.558207,Extremely Good
418.15,92.593,20.756869,Extremely Bad
367.126,44.466,16.694577,Moderately Bad
428.457,45.325,21.648248,Moderately Bad
320.955,84.354,22.847541,Extremely Bad
277.408,41.845,13.008573,Moderately Good
256.733,67.288,12.651069,Moderately Bad
304.928,5.938,19.605346,Moderately Bad
48.305,88.238,19.031484,Moderately Bad
122.034,66.101,10.936794,Moderately Good
11.416,73.453,22.087696,Moderately Bad
71.945,3.024,13.106235,Extremely Good
215.242,2.192,10.95659,Extremely Good
170.13,84.959,24.153066,Moderately Bad
266.658,92.146,13.317439,Moderately Bad
15.468,45.16,23.688997,Moderately Good
178.461,65.716,20.687059,Moderately Bad
109.131,40.282,12.161222,Extremely Good
396.126,37.014,17.08743,Moderately Bad
252.171,4.86,13.365353,Moderately Good
384.711,35.425,24.983481,Moderately Bad
181.248,58.8,24.048786,Moderately Bad
188.389,75.119,24.785151,Moderately Bad
229.501,35.137,11.589294,Extremely Good
447.028,26.694,10.432378,Moderately Good
252.443,83.897,12.249777,Moderately Bad
338.229,18.38,19.080694,Moderately Bad
150.518,30.922,23.083339,Moderately Good
6.803,68.612,20.931752,Moderately Bad
361.19,8.472,16.178013,Moderately Bad
357.398,12.118,17.591662,Moderately Bad
244.259,98.077,23.686696,Moderately Bad
378.014,1.786,13.278411,Moderately Good
228.751,2.491,20.655736,Moderately Good
190.999,57.378,18.696286,Moderately Bad
190.477,87.895,22.530053,Moderately Bad
259.134,92.793,13.288855,Moderately Bad
400.168,82.633,24.948239,Extremely Bad
215.159,93.075,22.750746,Moderately Bad
428.777,31.799,15.561457,Moderately Bad
31.174,98.214,14.157374,Moderately Good
430.335,36.772,22.420449,Moderately Bad
345.117,46.295,12.028987,Moderately Good
296.23,97.521,20.764315,Extremely Bad
408.931,85.687,14.307753,Moderately Bad
408.188,8.087,23.932533,Moderately Bad
375.883,87.387,17.013169,Extremely Bad
14.381,36.23,19.635566,Moderately Good
49.45,48.457,11.559546,Extremely Good
86.81,13.535,22.726217,Moderately Good
451.715,29.093,24.044315,Moderately Bad
187.923,58.642,23.019406,Moderately Bad
258.372,76.808,11.365216,Moderately Bad
439.039,91.478,19.994094,Extremely Bad
275.487,84.336,23.731241,Extremely Bad
149.761,94.01,16.796112,Moderately Bad
20.068,50.455,22.530689,Moderately Bad
112.813,91.111,13.229063,Moderately Good
142.592,48.975,14.985836,Extremely Good
91.268,6.53,11.917799,Extremely Good
249.885,41.393,18.032612,Moderately Good
473.624,76.92,16.120892,Extremely Bad
366.714,28.117,17.800492,Moderately Bad
6.705,3.808,13.924881,Extremely Good
62.932,37.054,17.959299,Moderately Good
50.241,70.631,21.441617,Moderately Bad
262.567,65.498,18.200332,Extremely Bad
397.874,89.266,14.129719,Moderately Bad
383.919,73.307,15.955576,Extremely Bad
346.936,18.211,12.056249,Moderately Good
147.91,98.145,14.180311,Moderately Good
205.454,92.659,19.23642,Moderately Bad
266.026,70.995,14.14276,Moderately Bad
320.177,60.342,14.076812,Moderately Bad
209.724,99.114,23.719536,Moderately Bad
187.912,2.566,15.559762,Moderately Good
476.851,33.565,10.875959,Moderately Good
367.008,23.515,22.931162,Moderately Bad
5.249,15.29,17.215298,Moderately Good
144.341,56.427,16.421722,Moderately Bad
358.134,3.829,12.196673,Moderately Good
176.249,52.603,17.820279,Moderately Bad
104.441,41.633,12.261338,Extremely Good
216.929,48.569,13.928063,Extremely Good
286.235,68.593,17.067406,Extremely Bad
486.278,63.927,11.668671,Moderately Bad
110.425,52.168,10.754997,Moderately Good
148.587,97.213,23.917996,Moderately Bad
359.463,48.065,18.040084,Moderately Bad
442.648,98.18,19.055291,Extremely Bad
41.033,92.136,24.456201,Moderately Bad
111.865,80.054,15.00749,Moderately Bad
419.74,32.899,16.092852,Moderately Bad
365.176,32.993,14.870717,Moderately Good
441.554,47.295,10.373506,Moderately Good
183.584,30.605,10.579071,Extremely Good
252.11,68.659,23.79491,Extremely Bad
152.423,29.062,19.460847,Moderately Good
447.053,37.902,19.042042,Moderately Bad
447.856,77.777,21.398529,Extremely Bad
189.534,19.017,14.638033,Extremely Good
478.781,21.133,13.737267,Moderately Good
324.548,61.464,16.794894,Extremely Bad
391.244,61.617,15.637419,Extremely Bad
201.088,35.444,15.525555,Moderately Good
82.828,96.888,19.431656,Moderately Bad
115.323,31.546,16.995831,Moderately Good
412.804,39.438,22.36732,Moderately Bad
398.256,84.191,21.385229,Extremely Bad
148.389,72.862,13.436133,Moderately Good
123.436,60.391,12.966146,Moderately Good
92.372,61.042,11.310113,Moderately Good
247.153,88.324,22.786151,Moderately Bad
30.65,59.194,18.876533,Moderately Bad
17.235,68.984,19.346295,Moderately Bad
165.756,29.161,10.423665,Extremely Good
4.0,22.576,18.820709,Moderately Good
114.953,97.635,20.876268,Moderately Bad
160.537,90.55,20.11316,Moderately Bad
161.756,52.137,22.579468,Moderately Bad
108.757,19.967,21.629667,Moderately Good
4.446,10.608,14.433301,Extremely Good
233.845,0.119,19.84825,Moderately Good
163.475,20.917,10.233408,Extremely Good
370.768,70.861,22.429994,Extremely Bad
313.857,83.226,19.926005,Extremely Bad
170.351,5.943,14.260214,Extremely Good
1.197,27.858,22.233479,Moderately Good
160.735,44.468,12.699578,Extremely Good
300.924,98.563,15.489291,Extremely Bad
138.517,37.366,23.229513,Moderately Good
353.497,11.316,13.693668,Moderately Good
229.088,2.889,23.189563,Moderately Good
153.486,17.779,12.69274,Extremely Good
375.608,63.574,22.292322,Extremely Bad
439.477,72.517,10.365757,Moderately Bad
104.745,41.803,12.187842,Extremely Good
489.299,59.491,13.850724,Moderately Bad
38.595,71.928,23.143551,Moderately Bad
230.201,8.363,17.187729,Moderately Good
141.522,96.597,18.421144,Moderately Bad
491.295,75.204,12.751389,Moderately Bad
462.53,13.754,15.178755,Moderately Bad
369.215,91.114,24.128171,Extremely Bad
155.854,87.406,22.817657,Moderately Bad
92.67,46.522,16.604862,Moderately Good
178.617,70.89,21.537167,Moderately Bad
454.587,2.974,14.747222,Moderately Good
310.721,86.969,11.309415,Moderately Bad
108.912,47.981,23.704921,Moderately Good
29.296,81.436,11.946472,Moderately Good
339.166,81.589,23.477285,Extremely Bad
196.799,40.283,24.191662,Moderately Good
425.349,10.669,23.280856,Moderately Bad
246.887,70.196,19.566208,Moderately Bad
476.588,48.889,18.687012,Moderately Bad
157.629,23.411,19.162151,Moderately Good
478.848,65.548,20.944885,Extremely Bad
224.8,3.224,14.122083,Extremely Good
93.222,26.822,10.339646,Extremely Good
499.514,10.753,16.581431,Moderately Bad
60.608,3.66,24.551675,Moderately Good
96.18,9.99,19.145673,Moderately Good
163.145,68.059,22.003273,Moderately Bad
382.361,63.111,12.298578,Moderately Bad
493.754,54.001,19.074526,Extremely Bad
374.903,86.397,13.527914,Moderately Bad
423.917,38.947,23.829754,Moderately Bad
126.756,7.76,10.003069,Extremely Good
82.108,5.433,23.439042,Moderately Good
440.036,73.705,21.649843,Extremely Bad
258.261,41.019,19.470699,Moderately Bad
213.132,5.108,15.351472,Moderately Good
357.657,94.449,19.815104,Extremely Bad
324.638,54.899,24.328433,Extremely Bad
31.362,83.783,14.237368,Moderately Good
0.626,3.256,15.409361,Moderately Good
42.701,51.315,19.260147,Moderately Bad
255.497,45.965,10.564588,Moderately Good
486.865,43.733,20.154329,Moderately Bad
220.254,39.538,21.701023,Moderately Good
96.862,36.419,12.532284,Extremely Good
204.304,94.3,10.774584,Moderately Good
417.233,86.648,24.388824,Extremely Bad
429.746,8.803,19.800779,Moderately Bad
313.464,44.902,10.233934,Moderately Good
7.509,51.772,22.448387,Moderately Bad
41.78,5.461,20.396414,Moderately Good
395.417,37.723,20.779815,Moderately Bad
292.976,58.395,21.183114,Extremely Bad
383.629,24.862,19.128907,Moderately Bad
20.166,31.814,18.264557,Moderately Good
394.91,88.258,22.642675,Extremely Bad
207.305,72.682,21.50081,Moderately Bad
193.392,90.385,11.723798,Moderately Good
399.331,21.498,22.664243,Moderately Bad
337.696,12.23,10.102157,Moderately Good
243.423,83.946,13.674661,Moderately Good
359.43,59.109,20.498585,Extremely Bad
470.071,86.432,22.03464,Extremely Bad
379.001,83.271,18.465603,Extremely Bad
28.95,49.133,10.593471,Extremely Good
260.282,45.873,21.561458,Moderately Bad
23.732,37.171,22.406728,Moderately Good
266.619,6.032,17.794672,Moderately Bad
5.84,41.453,11.663344,Extremely Good
134.962,2.16,18.6728,Moderately Good
19.543,97.183,24.348811,Moderately Bad
206.13,51.179,20.968093,Moderately Bad
106.782,22.132,19.68744,Moderately Good
442.678,69.468,23.165268,Extremely Bad
82.48,31.679,10.483731,Extremely Good
0.611,21.757,23.713431,Moderately Good
310.527,99.838,22.337518,Extremely Bad
363.678,32.343,12.173516,Moderately Good
372.279,4.863,22.511201,Moderately Bad
208.279,49.888,21.62654,Moderately Good
130.357,49.642,16.807421,Moderately Good
137.549,86.933,24.28409,Moderately Bad
22.708,25.994,12.473036,Extremely Good
245.378,20.008,16.291323,Moderately Good
295.601,41.239,12.474144,Moderately Good
474.726,59.772,19.351316,Extremely Bad
472.7,72.126,18.422245,Extremely Bad
251.488,36.257,16.192447,Moderately Bad
366.237,21.212,13.796555,Moderately Good
77.607,24.538,17.09246,Moderately Good
167.227,43.469,18.230692,Moderately Good
49.097,82.346,16.743982,Moderately Bad
129.09,17.162,13.846142,Extremely Good
317.333,21.768,24.707561,Moderately Bad
222.63,48.123,11.056797,Extremely Good
72.65,51.81,21.202762,Moderately Bad
243.339,5.457,24.473392,Moderately Good
243.123,3.965,18.304705,Moderately Good
192.873,2.319,19.957269,Moderately Good
458.413,42.275,15.278862,Moderately Bad
83.731,7.651,13.194045,Extremely Good
342.24,31.944,11.825721,Moderately Good
471.382,48.297,23.476971,Moderately Bad
240.302,70.04,17.808609,Moderately Bad
457.679,60.209,24.538787,Extremely Bad
51.365,41.007,20.752327,Moderately Good
365.643,99.292,24.51259,Extremely Bad
413.846,33.236,13.043531,Moderately Good
91.083,41.744,23.241873,Moderately Good
248.022,67.3,15.946836,Moderately Bad
108.544,42.819,14.99579,Extremely Good
433.914,22.506,16.83192,Moderately Bad
261.502,27.987,14.104242,Moderately Good
167.259,69.559,10.345607,Moderately Good
463.824,61.2,24.739198,Extremely Bad
146.194,80.741,10.182298,Moderately Good
263.805,6.189,18.15974,Moderately Bad
6.223,19.779,23.007844,Moderately Good
472.184,73.332,13.188147,Moderately Bad
147.44,34.983,18.978514,Moderately Good
146.821,48.467,22.854656,Moderately Good
177.695,8.485,13.332284,Extremely Good
496.278,48.789,13.169404,Moderately Good
321.392,41.451,16.538265,Moderately Bad
496.061,77.56,23.733409,Extremely Bad
497.27,32.971,13.468839,Moderately Good
284.613,31.592,24.071865,Moderately Bad
67.539,1.935,15.646659,Moderately Good
408.709,25.427,22.735548,Moderately Bad
450.486,81.436,17.252134,Extremely Bad
176.066,13.875,15.644771,Moderately Good
21.363,31.272,23.420428,Moderately Good
3.766,72.424,24.191904,Moderately Bad
169.744,20.214,21.639487,Moderately Good
23.328,34.353,12.488959,Extremely Good
267.918,44.176,17.180232,Moderately Bad
444.731,93.904,10.113919,Moderately Bad
412.67,17.039,12.024296,Moderately Good
337.634,85.559,15.736585,Extremely Bad
118.498,89.855,15.349941,Moderately Bad
117.609,92.604,15.654961,Moderately Bad
387.93,21.924,21.51627,Moderately Bad
27.273,29.608,13.082175,Extremely Good
380.336,73.628,24.961502,Extremely Bad
433.975,69.716,24.713776,Extremely Bad
3.861,47.423,11.762656,Extremely Good
173.942,12.342,11.828122,Extremely Good
233.192,30.89,12.980457,Extremely Good
104.793,5.764,12.931277,Extremely Good
374.401,31.331,22.999268,Moderately Bad
230.885,17.269,23.538178,Moderately Good
139.566,34.099,12.006929,Extremely Good
106.019,1.81,15.604811,Moderately Good
353.497,5.463,24.86108,Moderately Bad
222.053,51.927,11.464845,Moderately Good
182.636,5.736,17.280022,Moderately Good
24.44,94.145,12.630913,Moderately Good
133.456,54.618,17.585936,Moderately Bad
276.135,19.126,10.782326,Moderately Good
148.679,10.524,15.39039,Moderately Good
254.785,37.089,14.900531,Moderately Good
392.952,85.212,13.497034,Moderately Bad
68.344,43.737,23.791394,Moderately Good
3.514,17.312,14.610836,Extremely Good
258.908,90.856,13.593634,Moderately Bad
390.116,20.796,18.903528,Moderately Bad
497.424,99.46,15.710786,Extremely Bad
142.914,32.191,22.391765,Moderately Good
332.63,64.147,13.572802,Moderately Bad
467.036,41.035,16.696354,Moderately Bad
67.488,63.738,16.229924,Moderately Bad
34.404,49.406,22.795738,Moderately Good
421.511,44.127,12.320778,Moderately Good
97.6,0.146,19.132699,Moderately Good
408.695,30.404,14.040841,Moderately Good
202.906,65.008,22.160945,Moderately Bad
140.812,7.993,21.925077,Moderately Good
99.7,85.231,10.549947,Moderately Good
159.707,59.997,14.455214,Moderately Good
132.927,69.288,15.005569,Moderately Bad
339.586,23.925,16.218172,Moderately Bad
376.248,17.307,21.22128,Moderately Bad
477.033,11.132,21.728872,Moderately Bad
96.273,14.153,23.829796,Moderately Good
350.196,69.959,15.874287,Extremely Bad
348.903,5.236,15.516009,Moderately Bad
216.76,38.246,13.214403,Extremely Good
418.204,64.842,16.82497,Extremely Bad
144.333,72.129,13.653939,Moderately Good
148.891,41.479,20.63488,Moderately Good
302.852,27.471,14.875588,Moderately Good
398.783,56.124,16.867598,Extremely Bad
91.244,11.542,13.089325,Extremely Good
130.955,71.635,13.36715,Moderately Good
390.291,46.259,19.89549,Moderately Bad
267.989,97.307,20.193004,Extremely Bad
455.293,96.792,19.377916,Extremely Bad
75.868,98.71,18.121541,Moderately Bad
327.054,54.16,16.510165,Extremely Bad
338.649,37.083,14.050579,Moderately Good
110.444,9.964,13.261211,Extremely Good
272.87,89.735,20.776315,Extremely Bad
444.085,54.564,24.814308,Extremely Bad
288.511,0.063,11.698539,Moderately Good
205.482,57.56,18.644961,Moderately Bad
373.449,54.854,23.93655,Extremely Bad
453.465,72.266,21.671649,Extremely Bad
47.905,16.326,16.285961,Moderately Good
144.066,8.136,16.237791,Moderately Good
45.439,25.662,14.188426,Extremely Good
257.535,64.009,23.138266,Extremely Bad
30.897,77.292,19.5371,Moderately Bad
327.927,99.755,14.293347,Moderately Bad
457.819,16.398,24.987393,Moderately Bad
239.985,75.524,23.64827,Moderately Bad
50.191,5.339,20.340716,Moderately Good
226.043,14.825,23.344533,Moderately Good
100.593,34.518,18.982634,Moderately Good
244.895,96.369,24.25917,Moderately Bad
279.746,64.707,23.520191,Extremely Bad
198.531,60.616,11.022066,Moderately Good
29.101,83.818,10.001975,Moderately Good
86.599,11.729,20.691983,Moderately Good
350.076,91.498,22.226414,Extremely Bad
152.346,62.257,24.243973,Moderately Bad
151.05,21.036,22.984555,Moderately Good
143.402,4.926,21.517478,Moderately Good
89.867,52.009,18.111518,Moderately Bad
4.632,19.298,22.852888,Moderately Good
451.67,51.984,17.455951,Extremely Bad
223.433,8.524,14.153392,Extremely Good
163.513,51.399,24.817954,Moderately Bad
205.713,33.128,16.599783,Moderately Good
344.806,45.645,10.84286,Moderately Good
482.464,73.371,17.005156,Extremely Bad
361.931,35.702,20.216363,Moderately Bad
114.466,3.151,22.042252,Moderately Good
89.861,11.502,12.897725,Extremely Good
210.762,27.341,13.731824,Extremely Good
466.041,65.06,15.842382,Extremely Bad
296.663,86.144,12.658136,Moderately Bad
43.771,52.485,23.911115,Moderately Bad
144.624,57.25,11.047644,Moderately Good
323.741,53.429,10.344316,Moderately Bad
266.261,75.188,22.776836,Extremely Bad
175.368,70.788,20.214311,Moderately Bad
227.338,81.805,17.608963,Moderately Bad
24.381,85.376,12.770387,Moderately Good
37.348,92.581,22.825602,Moderately Bad
376.336,7.186,19.404109,Moderately Bad
439.091,81.36,13.341964,Moderately Bad
490.235,24.565,24.494581,Moderately Bad
56.705,83.5,11.081572,Moderately Good
347.38,63.013,18.302648,Extremely Bad
399.785,7.637,14.408225,Moderately Good
